GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
36067012200,140,36,067,45060,532,,,Census Tract 122,1213,612,1249,627,1213,1249,1143,1213,42,6,5,11,2,3,0,0,3,1,18,15
36067012300,140,36,067,45060,532,,,Census Tract 123,3452,1515,3510,1455,3452,3510,3286,3414,43,10,12,8,57,47,0,0,19,5,35,26
36067012600,140,36,067,45060,532,,,Census Tract 126,5425,2360,5778,2347,5425,5778,5085,5579,94,45,30,17,83,77,6,0,31,13,96,47
36067013100,140,36,067,45060,532,,,Census Tract 131,4449,1917,4638,1872,4449,4638,4334,4548,20,8,14,16,28,23,0,1,9,7,44,29
36067013400,140,36,067,45060,532,,,Census Tract 134,5505,2527,5854,2406,5505,5854,5100,5514,134,114,11,30,158,109,2,0,24,16,76,71
36067014000,140,36,067,45060,532,,,Census Tract 140,3822,1641,3791,1667,3822,3791,3362,3523,222,87,35,38,49,41,0,1,61,26,93,75
36067014400,140,36,067,45060,532,,,Census Tract 144,2471,1121,2468,1194,2471,2468,2240,2323,107,71,27,23,31,8,1,2,12,7,53,34
36067014500,140,36,067,45060,532,,,Census Tract 145,4074,1962,4032,1901,4074,4032,3760,3790,96,71,17,28,137,87,1,0,12,13,51,43
36067014600,140,36,067,45060,532,,,Census Tract 146,4967,1846,4029,1931,4967,4029,3911,3183,623,590,21,7,187,142,4,1,71,12,150,94
36067015100,140,36,067,45060,532,,,Census Tract 151,5653,2834,5935,2726,5653,5935,5203,5601,126,66,13,8,200,203,0,2,14,14,97,41
36067015500,140,36,067,45060,532,,,Census Tract 155,2819,1297,2835,1225,2819,2835,2693,2680,31,24,8,11,50,84,0,1,8,6,29,29
36067016400,140,36,067,45060,532,,,Census Tract 164,3984,1879,3912,1730,3984,3912,3692,3687,133,55,23,14,50,75,0,0,23,4,63,77
36067016501,140,36,067,45060,532,,,Census Tract 165.01,1863,764,1791,694,1863,1791,1836,1756,4,13,1,5,8,2,0,0,0,1,14,14
36067016600,140,36,067,45060,532,,,Census Tract 166,4617,2040,4759,1968,4617,4759,4529,4711,10,6,15,7,26,12,0,0,6,2,31,21
36067016802,140,36,067,45060,532,,,Census Tract 168.02,2541,1229,2561,1200,2541,2561,2436,2491,32,6,22,8,23,16,0,0,9,4,19,36
36067940000,140,36,067,45060,532,,,Census Tract 9400,468,325,1475,312,468,1475,7,633,1,25,457,763,0,0,0,3,0,0,3,51
36075020600,140,36,075,45060,532,,,Census Tract 206,4973,2343,5141,2351,4973,5141,4869,5053,11,11,22,34,15,4,0,1,9,4,47,34
36075020703,140,36,075,45060,532,,,Census Tract 207.03,5244,2027,4977,1884,5244,4977,5118,4872,15,10,29,23,13,1,0,3,13,3,56,59
36075020901,140,36,075,45060,532,,,Census Tract 209.01,2382,1119,2360,1113,2382,2360,2288,2317,19,8,16,12,12,5,1,0,5,3,41,12
36075020902,140,36,075,45060,532,,,Census Tract 209.02,6119,2540,6205,2476,6119,6205,5943,6059,28,24,44,45,24,20,1,0,17,4,62,51
36075021101,140,36,075,45060,532,,,Census Tract 211.01,3913,1711,3950,1802,3913,3950,3705,3788,50,41,20,20,13,7,2,2,31,59,92,33
36075021103,140,36,075,45060,532,,,Census Tract 211.03,2945,1249,3011,1271,2945,3011,2845,2931,24,18,12,12,15,13,0,1,15,17,34,19
36075021402,140,36,075,45060,532,,,Census Tract 214.02,1659,721,1663,660,1659,1663,1618,1626,8,4,4,2,13,11,0,0,0,8,16,12
