id,year,exclude,Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,Column
161,2011,,Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.7,304.52,481.23,93,517.45%,54.81,,,http://boxofficemojo.com/movies/?id=riseoftheapes.htm,
162,2011,,Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.6,103.25,219.85,200,109.93%,53.17,,,http://boxofficemojo.com/movies/?id=greenlantern.htm,
163,2011,,Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.02,150,442.02%,47.66,,,http://boxofficemojo.com/movies/?id=kungfupanda2.htm,
164,2011,,Super 8 ,Paramount,82,78,Monster Force,Horror,3379,10492,127,132.71,259.71,50,519.43%,35.45,,,http://boxofficemojo.com/movies/?id=super8.htm,
165,2011,,Hop,Relativity Media,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.95,63,291.99%,37.54,,,http://boxofficemojo.com/movies/?id=ihop.htm,
166,2011,,The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.16,110,511.05%,35.61,,,http://boxofficemojo.com/movies/?id=smurfs.htm,
167,2011,,Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.82,70,302.60%,35.57,,,http://boxofficemojo.com/movies/?id=battlelosangeles.htm,
168,2011,,Bad Teacher,Independant,44,38,Comedy,Comedy,3049,10365,100.29,115.9,216.2,20,1080.98%,31.6,,,http://boxofficemojo.com/movies/?id=badteacher.htm,
169,2011,,Immortals,Relativity Media,36,59,Revenge,Action,3112,10349,80.49,102,182.49,75,243.31%,32.21,,,http://boxofficemojo.com/movies/?id=warofgods.htm,
170,2011,,The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.22,30.1,199.32,25,797.30%,26.04,,,http://boxofficemojo.com/movies/?id=help2011.htm,
171,2011,,Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.62,341.02,484.63,90,538.48%,39.23,,,http://boxofficemojo.com/movies/?id=rio.htm,
172,2011,,Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.9,245.15,135,181.60%,38.08,,,http://boxofficemojo.com/movies/?id=rango.htm,
173,2011,,Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163,107.25%,36.43,,,http://boxofficemojo.com/movies/?id=cowboysandaliens.htm,
